target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
bare_atlas_carry_progression_blind_a_v0,carry_progression,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",8dc795885eafb7259bdeee895f1dce027aec49a6628fe64eb2b6a8c3f8c3e6fe,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_carry_progression_blind_b_v0,carry_progression,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 28, 'local_hits': 0, 'shared_hits': 28, 'misses': 0, 'disabled': 0, 'bypassed': 0}",a6d9f4af921cfb9d474011d96e574bec4f7c6ac6cf58e6bf94147efbbefb2a62,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_direct_pressure_candidate_blind_a_v0,direct_pressure_candidate,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",845bdc17f993bae9a5b265b5c3abdbba3cbe07956cb3af38b4bfc7d968d231f0,pressure_on_carrier,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_direct_pressure_candidate_blind_b_v0,direct_pressure_candidate,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 28, 'local_hits': 0, 'shared_hits': 28, 'misses': 0, 'disabled': 0, 'bypassed': 0}",99c6f5f8270e284d611556da1e97f585191d0f81caed4133b0de3250eb6f47d4,pressure_on_carrier,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_post_regain_retention_blind_a_v0,post_regain_retention,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",5eda96691c8cefd319e3361a7238ded7a7b29bb1834d2f0f141a5e54063ea0d9,outcome_window,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_post_regain_retention_blind_b_v0,post_regain_retention,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 28, 'local_hits': 0, 'shared_hits': 28, 'misses': 0, 'disabled': 0, 'bypassed': 0}",5bf06ab44b908efc5ae8cedd6b4f98c686f5092cc362433d31f7da3398a33270,outcome_window,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_carry_out_of_pressure_blind_a_v0,carry_out_of_pressure,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 38, 'local_hits': 14, 'shared_hits': 24, 'misses': 74, 'disabled': 0, 'bypassed': 0}",d02ce8aaf44969a544fb17ea2d58e2024cb2ee1a267b17db356768515be4ba1c,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_carry_out_of_pressure_blind_b_v0,carry_out_of_pressure,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 112, 'local_hits': 14, 'shared_hits': 98, 'misses': 0, 'disabled': 0, 'bypassed': 0}",3d55e0b02fab4590389adf9a8afaca3e422a17cede9a5f8912e48d9ea54b26d7,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
bare_atlas_pass_completion_probability_blind_a_v0,pass_completion_probability,True,False,max_depth=4.max_branching=6,missing_modality,handwired,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
bare_atlas_pass_completion_probability_blind_b_v0,pass_completion_probability,True,False,max_depth=4.max_branching=6,missing_modality,handwired,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
bare_atlas_goalkeeper_set_position_proxy_blind_a_v0,goalkeeper_set_position_proxy,True,False,max_depth=4.max_branching=6,missing_modality,handwired,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
bare_atlas_goalkeeper_set_position_proxy_blind_b_v0,goalkeeper_set_position_proxy,True,False,max_depth=4.max_branching=6,missing_modality,handwired,not_compiler_reachable,unsupported_modality,0,False,,,,,Target requires unavailable data/model modalities.
bare_atlas_goal_kick_build_structure_blind_a_v0,goal_kick_build_structure,True,False,max_depth=4.max_branching=6,missing_primitive,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
bare_atlas_goal_kick_build_structure_blind_b_v0,goal_kick_build_structure,True,False,max_depth=4.max_branching=6,missing_primitive,handwired,not_compiler_reachable,missing_primitive,0,False,,,,,No allowed catalog provider exposes any required target field.
