target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
atlas_scale_give_and_go_sequence_action_anchor_a_v0,give_and_go_sequence,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 5, 'local_hits': 0, 'shared_hits': 5, 'misses': 9, 'disabled': 0, 'bypassed': 0}",bd3e777db94eba9103c16d4d32446830e36d68979e92d261784bbaf6b4fb3f60,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_give_and_go_sequence_action_anchor_b_v0,give_and_go_sequence,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 14, 'disabled': 0, 'bypassed': 0}",365f5fa329c7b212d41c0e8a6015eb4a928e879c1ece22c1b0b80a1c62466850,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_a_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",e26e11e13ec842cf345b465f87f161d173c769485ce8c41130f9583caa2a54c2,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_b_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",19fd186e44ba42c1afe562d4f69b1ee466119984743e1d0bac171d6fc309b343,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_pressure_change_after_carry_pressure_change_a_v0,pressure_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 57, 'local_hits': 14, 'shared_hits': 43, 'misses': 55, 'disabled': 0, 'bypassed': 0}",eb48965659d862bfa47b62c86973c556823e436b26c8d99b096e1fb871a7f8cf,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_pressure_change_after_carry_pressure_change_b_v0,pressure_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 45, 'local_hits': 14, 'shared_hits': 31, 'misses': 67, 'disabled': 0, 'bypassed': 0}",ae0c33f73e0e0a3fe4131a1f9336b077f6ad467e0b4d8868d7cc69c525655c0f,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_possession_depth_compactness_a_v0,possession_depth,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",4560c6d78804bc6ca0cfc4e2dce8567609869cc8179f72b72a228b30582ab271,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_possession_depth_compactness_b_v0,possession_depth,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",3a907d4d11b3fa949f73c6276e75d9760d93bf5e67434aa12024a573451c043a,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_line_state_change_after_compactness_change_a_v0,line_state_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 17, 'local_hits': 0, 'shared_hits': 17, 'misses': 39, 'disabled': 0, 'bypassed': 0}",d484d58b63338004057047f8453e403731d4466403cac853e2406142539847d6,change_across_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_line_state_change_after_compactness_change_b_v0,line_state_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 20, 'local_hits': 0, 'shared_hits': 20, 'misses': 36, 'disabled': 0, 'bypassed': 0}",93159c55714d3868083d6f063ee92630e62baa0184440ffabf6b79366a4bf021,change_across_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_bounce_pass_sequence_controlled_pass_a_v0,bounce_pass_sequence,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 0, 'disabled': 0, 'bypassed': 0}",19aed612e7a81bffdefa1364152ea149a02602d51e9bb1acc94e7791f5dcd38c,controlled_pass_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
