target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
atlas_scale_possession_gain_anchor_action_anchor_a_v0,possession_gain_anchor,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 14, 'disabled': 0, 'bypassed': 0}",5f94119bf3bf0eb670846971c686972d25fe975b3f06a234de563c44c2ac1c03,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_possession_gain_anchor_action_anchor_b_v0,possession_gain_anchor,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 14, 'disabled': 0, 'bypassed': 0}",d831b292d685087d7941eb05a42a19884f0607588e347dfea71478dcc8aec492,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_central_progression_sequence_action_chain_a_v0,central_progression_sequence,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 3, 'local_hits': 0, 'shared_hits': 3, 'misses': 25, 'disabled': 0, 'bypassed': 0}",5159a8848130dcc414d2f9e334dfa8ef64fc323109b990cf92c11b3263f0c216,action_chain,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_central_progression_sequence_action_chain_b_v0,central_progression_sequence,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 5, 'local_hits': 0, 'shared_hits': 5, 'misses': 23, 'disabled': 0, 'bypassed': 0}",37113b9a3742b57e73668a9dddb075b64ac5705bff32c5295adf18a1a6b90f28,action_chain,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_a_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",e26e11e13ec842cf345b465f87f161d173c769485ce8c41130f9583caa2a54c2,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_b_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",19fd186e44ba42c1afe562d4f69b1ee466119984743e1d0bac171d6fc309b343,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_pressure_change_after_carry_pressure_change_a_v0,pressure_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 29, 'local_hits': 14, 'shared_hits': 15, 'misses': 83, 'disabled': 0, 'bypassed': 0}",eb48965659d862bfa47b62c86973c556823e436b26c8d99b096e1fb871a7f8cf,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_pressure_change_after_carry_pressure_change_b_v0,pressure_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 48, 'local_hits': 14, 'shared_hits': 34, 'misses': 64, 'disabled': 0, 'bypassed': 0}",ae0c33f73e0e0a3fe4131a1f9336b077f6ad467e0b4d8868d7cc69c525655c0f,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_possession_depth_compactness_a_v0,possession_depth,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",4560c6d78804bc6ca0cfc4e2dce8567609869cc8179f72b72a228b30582ab271,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_possession_depth_compactness_b_v0,possession_depth,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",3a907d4d11b3fa949f73c6276e75d9760d93bf5e67434aa12024a573451c043a,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_line_state_change_after_compactness_change_a_v0,line_state_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 30, 'local_hits': 0, 'shared_hits': 30, 'misses': 26, 'disabled': 0, 'bypassed': 0}",d484d58b63338004057047f8453e403731d4466403cac853e2406142539847d6,change_across_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_line_state_change_after_compactness_change_b_v0,line_state_change_after,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 42, 'disabled': 0, 'bypassed': 0}",93159c55714d3868083d6f063ee92630e62baa0184440ffabf6b79366a4bf021,change_across_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
