target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,execution_node_cache,document_hash,terminal_provider,message
atlas_scale_action_origin_action_anchor_a_v0,action_origin,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 4, 'local_hits': 0, 'shared_hits': 4, 'misses': 10, 'disabled': 0, 'bypassed': 0}",dcfdba76db180a9286ac4f826afba2d85b06f674de78fc46a52a31403265c948,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_action_origin_action_anchor_b_v0,action_origin,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 14, 'disabled': 0, 'bypassed': 0}",f8d2bfd27273a08e0e19209059bde59d98ea024418123f67b9c1c0e83c62ea2b,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_switch_of_play_sequence_action_chain_a_v0,switch_of_play_sequence,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 2, 'local_hits': 0, 'shared_hits': 2, 'misses': 26, 'disabled': 0, 'bypassed': 0}",1da7a1994f00de5e9b605492ca7fb3d791b636237cbc766c3d698a0068ea804a,action_chain,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_switch_of_play_sequence_action_chain_b_v0,switch_of_play_sequence,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 2, 'local_hits': 0, 'shared_hits': 2, 'misses': 26, 'disabled': 0, 'bypassed': 0}",355c72ec893fdf5afa1be7f54cbc98df5d2322cfd7c748024f67eedcb7de5dce,action_chain,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_a_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",e26e11e13ec842cf345b465f87f161d173c769485ce8c41130f9583caa2a54c2,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_between_units_carry_b_v0,carry_between_units,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 0, 'local_hits': 0, 'shared_hits': 0, 'misses': 28, 'disabled': 0, 'bypassed': 0}",19fd186e44ba42c1afe562d4f69b1ee466119984743e1d0bac171d6fc309b343,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_out_of_pressure_carry_pressure_change_a_v0,carry_out_of_pressure,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 43, 'local_hits': 14, 'shared_hits': 29, 'misses': 69, 'disabled': 0, 'bypassed': 0}",2bf1e5757983293521f1803aedca61254d1e05b08fd9f55e863118c51f546a28,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_carry_out_of_pressure_carry_pressure_change_b_v0,carry_out_of_pressure,True,True,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,2,False,0,"{'enabled': True, 'hits': 22, 'local_hits': 14, 'shared_hits': 8, 'misses': 90, 'disabled': 0, 'bypassed': 0}",e2974eacf491fb94141a46465805b9fb9642bf7f30d4367467997ce3a67a4098,join_episode_sets,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_players_ahead_of_ball_compactness_a_v0,players_ahead_of_ball,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",db1776fc3edc9dd60ba1ab6055e0a2ee3b2f8d86c2780999e2634158194726f3,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
atlas_scale_players_ahead_of_ball_compactness_b_v0,players_ahead_of_ball,True,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,"{'enabled': True, 'hits': 14, 'local_hits': 0, 'shared_hits': 14, 'misses': 14, 'disabled': 0, 'bypassed': 0}",9d43b0ba38efefe76031879f13273a1ca66819556e02ad8022d79a288d18d650,team_compactness,Bounded backward search discovered a reusable executable plan from the typed target contract.
