target_id,concept,held_out,multi_step,search_budget_label,coverage_classification,input_composition_maturity,result,failure_taxonomy,result_count,honest_zero,requested_evidence_failure_count,document_hash,terminal_provider,message
registry_projected_action_chain,concept.action_chain,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,b3e51336ef9fcb4f158894b3d2486e349766f797f7780a7cb83f7aded8bc6184,action_chain,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_action_event_anchor,concept.provider_action_event_anchor,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,7c337fa24f7b60eab6146db26762a20aa466f0528c7d948f517db06e570f019d,action_event_anchor,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_carry_episode,concept.controlled_carry_episode,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,c27ce69ca14cef49e55ede22e9555b5465678ddbb075d36bf12b889329d06612,carry_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_controlled_pass_episode,concept.controlled_ball_transfer,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,c994ab3eaec3d154446c2f63485774ad1b3c791d0431d13d79c9b63de8d5e806,controlled_pass_episode,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_defensive_line_model,concept.observed_geometric_defensive_line,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,38a323d8418bb01d21024f926387ebc7160cf9f852a4ece3c953937de8d58042,defensive_line_model,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_lane_occupancy,concept.observed_lane_occupancy,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,65bb031d6120dd672182d56312b7071188993542c8bd62d0f5083bde69c3b6e0,lane_occupancy,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_multi_line_model,concept.observed_multi_line_model,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,f0da09422c48d53c0da3a2a909b6af55ed819e5a656da6b64e78365b2cf80630,multi_line_model,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_one_touch_relay_episode,concept.one_touch_relay,False,False,max_depth=4.max_branching=6,supported,handwired,not_compiler_reachable,runtime_gap,20,False,20,e6928cb91d4c5130739159df7f491b17b56a752fe8c07950bb3ffcfd98ec35a9,one_touch_relay_episode,Discovered plan did not execute with complete requested evidence.
registry_projected_outcome_window,concept.observed_outcome_window,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,2ba64555934f3126d8cea1c563ec0d7b952a52d7ddbae40ebceff8a208b05e4f,outcome_window,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_pairwise_distance,concept.pairwise_distance,False,False,max_depth=4.max_branching=6,supported,handwired,compiler_reachable,,20,False,0,ada03470af328636f64d5a3ae497d7db5d03dbfea61d931c7750137293301561,pairwise_distance,Bounded backward search discovered a reusable executable plan from the typed target contract.
registry_projected_pass_chain_episode,concept.pass_chain_episode,False,False,max_depth=4.max_branching=6,supported,handwired,not_compiler_reachable,runtime_gap,20,False,16,212044ffc422cbdbf59266aeeede6136c177e678e9d77a9866d5b168313cceec,pass_chain_episode,Discovered plan did not execute with complete requested evidence.
