concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
after,"Temporal logic, set operations, and aggregation",supported,Temporal relation expressed via action_event_anchor ordering + change_across_anchor (before/after partition); operator 'after'.,,"change_across_anchor, action_chain frame-ordering",False,,HIGH
argmax,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,[audit-corrected] Selection over a measured set; expressible via gt/gte ordering over pairwise_distance/velocity outputs; ranking operator. multi_line_model already ranks. Aggregation/argmax operator. — relies on an aggregation/extremum operator absent from the catalog (only gt/gte/lte/eq/neq/persists_for/exists/count_at_least exist).,aggregation/extremum operator (argmax/integral/median/quantile),"gte ordering, multi_line ranking",False,,MED
argmin,"Temporal logic, set operations, and aggregation",partial_with_typed_gap,[audit-corrected] Dual of argmax; lte ordering over a measured set selects min element. Aggregation operator. — relies on an aggregation/extremum operator absent from the catalog (only gt/gte/lte/eq/neq/persists_for/exists/count_at_least exist).,aggregation/extremum operator (argmax/integral/median/quantile),lte ordering,False,,MED
at,"Temporal logic, set operations, and aggregation",supported,Instantaneous evaluation at an anchor frame; action_event_anchor + tracking clock gives point-in-time sampling. Operator 'at'.,,"action_event_anchor, canonical clock",False,,MED
before,"Temporal logic, set operations, and aggregation",supported,Pre-anchor temporal partition via change_across_anchor before-side; action_chain ordering. Operator 'before'.,,change_across_anchor,False,,HIGH
change_point,"Temporal logic, set operations, and aggregation",supported,Detect when a measured value crosses; persists_for/state-change over signed_lateral_shift or velocity via gt threshold transition. Operator-level (state_change).,,"change_across_anchor, persists_for",False,,MED
classify_by_rules,"Temporal logic, set operations, and aggregation",supported,Exactly outcome_classification / relation_destination_entry classification under frozen predicates with gt/eq/etc. Operator.,,outcome_classification,False,,HIGH
compare_to_baseline,"Temporal logic, set operations, and aggregation",supported,change_across_anchor before-vs-after delta is the baseline comparison primitive; operator compare_to_baseline.,,change_across_anchor,False,,HIGH
contains,"Temporal logic, set operations, and aggregation",supported,Interval containment (Allen relation); persists_for produces intervals and exists tests membership of an anchor within them. Operator.,,"persists_for, exists",False,,MED
cooccurs_with,"Temporal logic, set operations, and aggregation",supported,Two interval predicates both true in same window via exists + persists_for overlap; same-window conjunction. Operator (overlaps).,,"exists, persists_for",True,true: declare interval-overlap conjunction,MED
count,"Temporal logic, set operations, and aggregation",supported,count_at_least / local_number_relation supply counting; operator count.,,count_at_least,False,,HIGH
count_at_least,"Temporal logic, set operations, and aggregation",supported,Native catalog operator count_at_least.,,count_at_least,False,,HIGH
debounce,"Temporal logic, set operations, and aggregation",supported,Suppress flicker by requiring min duration before asserting; persists_for (boolean->interval after min duration) is exactly debounce/hysteresis. Operator.,,persists_for,False,,MED
delta,"Temporal logic, set operations, and aggregation",supported,Before/after measured difference = change_across_anchor. Operator delta.,,change_across_anchor,False,,HIGH
delta_from_baseline,"Temporal logic, set operations, and aggregation",supported,change_across_anchor vs a frozen baseline value; same as compare_to_baseline. Operator.,,change_across_anchor,False,,MED
difference,"Temporal logic, set operations, and aggregation",supported,Set difference over entity sets; local_number_relation / distinct_entities counting supports set-algebra difference. Operator.,,local_number_relation,False,,MED
